gene	length	score	occurrences	# sites
TcCLB.469785.20	197	48	1	2
TcCLB.469785.30	81	47	2	1
TcCLB.469785.40	189	37	1	2
TcCLB.470169.9	718	51	1	3
TcCLB.472253.10	71	66	1	3
TcCLB.473111.10	19	53	5	5
TcCLB.476421.9	136	61	1	1
TcCLB.477079.10	224	22	1	1
TcCLB.477983.10	576	29	1	2
TcCLB.478711.10.1	510	61	5	6
TcCLB.479517.30	1031	41	15	1
TcCLB.480653.10	32	46	2	3
TcCLB.480975.10	348	26	1	1
TcCLB.482097.20	297	66	2	3
TcCLB.482369.10	346	42	1	2
TcCLB.482369.20	230	62	2	4
TcCLB.482471.10	585	76	15	18
TcCLB.484299.10	357	68	32	7
TcCLB.485889.4	433	42	2	1
TcCLB.487507.10	495	80	42	28
TcCLB.498829.10	12	21	1	1
TcCLB.503391.10	27	71	2	3
TcCLB.503401.29	388	57	2	7
TcCLB.503401.40	85	72	2	3
TcCLB.503405.10	369	67	66	12
TcCLB.503407.10	223	32	1	4
TcCLB.503407.20	103	61	1	3
TcCLB.503409.20	291	41	1	1
TcCLB.503419.20	16	61	1	2
TcCLB.503419.30	231	69	494	48
TcCLB.503419.40	95	54	1	2
TcCLB.503419.50	98	63	20	8
TcCLB.503419.54	86	68	4	4
TcCLB.503419.60	400	34	1	3
TcCLB.503425.20	171	61	2	1
TcCLB.503433.10	559	48	1	3
TcCLB.503433.20	458	56	1	3
TcCLB.503435.30	144	54	1	5
TcCLB.503441.10	997	62	2	1
TcCLB.503441.19	537	58	2	3
TcCLB.503447.40	404	65	8	5
TcCLB.503447.60	235	51	6	2
TcCLB.503449.10	61	100	172	8
TcCLB.503449.14	99	67	4	5
TcCLB.503449.20	69	67	2	5
TcCLB.503449.30	85	71	2	5
TcCLB.503449.40	98	54	1	2
TcCLB.503453.100	264	52	38	19
TcCLB.503453.20	431	66	33	26
TcCLB.503453.30	96	93	51	11
TcCLB.503453.4	348	67	2	5
TcCLB.503453.40	96	87	54	7
TcCLB.503453.50	210	66	3	4
TcCLB.503453.60	440	33	1	2
TcCLB.503453.64	80	55	1	4
TcCLB.503453.70	128	61	1	1
TcCLB.503453.80	242	56	1	2
TcCLB.503453.90	36	51	5	2
TcCLB.503455.10	661	61	1	3
TcCLB.503455.20	467	62	2	10
TcCLB.503457.10	106	55	3	9
TcCLB.503457.4	194	49	2	1
TcCLB.503467.20	776	56	1	9
TcCLB.503467.30	153	68	3	6
TcCLB.503477.10	44	39	1	2
TcCLB.503477.20	470	41	16	10
TcCLB.503477.30	116	53	1	2
TcCLB.503479.10	854	47	2	21
TcCLB.503479.30	370	63	2	5
TcCLB.503479.40	68	38	1	9
TcCLB.503479.49	280	56	1	3
TcCLB.503479.60	2519	58	1	3
TcCLB.503485.20	3	70	12	1
TcCLB.503487.10	431	65	4	5
TcCLB.503487.20	152	58	2	3
TcCLB.503487.30	243	64	3	4
TcCLB.503487.40	119	69	3	4
TcCLB.503487.50	73	55	1	2
TcCLB.503487.60	452	70	5	6
TcCLB.503487.70	167	60	27	20
TcCLB.503489.20	10	51	1	2
TcCLB.503489.24	38	51	3	5
TcCLB.503493.10	402	67	4	3
TcCLB.503493.20	160	31	1	1
TcCLB.503493.30	383	36	1	1
TcCLB.503501.14	367	56	1	1
TcCLB.503503.30	402	16	1	1
TcCLB.503509.10	441	50	2	2
TcCLB.503511.10	403	52	2	1
TcCLB.503513.20	222	43	2	1
TcCLB.503513.40	412	44	1	2
TcCLB.503515.14	391	21	1	2
TcCLB.503515.20	251	47	2	2
TcCLB.503525.10	27	75	6	2
TcCLB.503525.30	202	66	4	4
TcCLB.503525.4	700	43	12	4
TcCLB.503525.40	200	61	2	3
TcCLB.503527.10	305	46	1	3
TcCLB.503527.20	222	75	56	6
TcCLB.503527.29	383	66	2	8
TcCLB.503527.4	225	66	2	10
TcCLB.503527.40	240	67	3	5
TcCLB.503527.50	80	78	9	2
TcCLB.503529.20	166	65	2	4
TcCLB.503529.30	598	34	3	9
TcCLB.503531.30	185	41	1	1
TcCLB.503531.40	149	61	1	1
TcCLB.503557.10	331	52	2	2
TcCLB.503557.14	432	75	16	3
TcCLB.503557.20	16	44	1	1
TcCLB.503557.30	457	43	1	2
TcCLB.503557.40	116	67	2	3
TcCLB.503561.10	1013	51	1	6
TcCLB.503561.20	60	51	1	1
TcCLB.503571.10	115	66	30	13
TcCLB.503575.27	282	64	3	7
TcCLB.503575.34	114	91	88	15
TcCLB.503575.40	47	69	4	4
TcCLB.503575.54	136	66	2	4
TcCLB.503575.60	285	62	2	7
TcCLB.503577.20	376	41	1	7
TcCLB.503579.10	1088	51	1	4
TcCLB.503579.100	52	70	3	3
TcCLB.503579.119	331	62	3	4
TcCLB.503579.130	10	71	3	2
TcCLB.503579.140	117	67	3	2
TcCLB.503579.150	369	56	1	3
TcCLB.503579.20	203	57	1	7
TcCLB.503579.40	93	71	2	5
TcCLB.503579.50	29	71	4	2
TcCLB.503579.60	652	67	350	15
TcCLB.503579.70	199	77	13	22
TcCLB.503579.80	271	56	1	1
TcCLB.503579.90	258	28	1	1
TcCLB.503589.10	277	56	1	4
TcCLB.503589.19	74	50	1	1
TcCLB.503595.10	444	71	4	16
TcCLB.503599.10	635	57	1	5
TcCLB.503599.20	159	46	1	2
TcCLB.503599.30	766	55	1	2
TcCLB.503599.50	628	61	1	4
TcCLB.503599.70	725	55	19	4
TcCLB.503611.10	489	46	1	1
TcCLB.503611.20	52	94	45	9
TcCLB.503611.40	122	87	67	8
TcCLB.503613.20	62	57	25	15
TcCLB.503613.30	27	60	3	1
TcCLB.503613.40	154	64	3	6
TcCLB.503613.50	104	67	2	6
TcCLB.503613.60	101	62	7	9
TcCLB.503613.79	161	41	1	1
TcCLB.503615.10	1965	41	1	4
TcCLB.503619.20	116	61	1	1
TcCLB.503619.25	105	71	4	1
TcCLB.503619.29	65	49	1	3
TcCLB.503619.39	44	57	1	1
TcCLB.503627.20	521	31	1	1
TcCLB.503637.10	155	56	1	1
TcCLB.503637.20	659	51	1	3
TcCLB.503637.30	118	56	3	3
TcCLB.503639.10	1228	52	4	5
TcCLB.503639.20	208	63	2	2
TcCLB.503639.30	53	66	1	4
TcCLB.503641.10	492	49	3	4
TcCLB.503643.10	42	66	1	2
TcCLB.503643.20	358	53	2	3
TcCLB.503643.30	256	61	1	6
TcCLB.503643.39	94	66	3	4
TcCLB.503643.6	29	68	3	2
TcCLB.503651.10	53	60	3	1
TcCLB.503651.20	47	55	2	5
TcCLB.503651.30	63	38	1	2
TcCLB.503651.49	67	56	1	1
TcCLB.503653.104	99	51	1	2
TcCLB.503653.20	423	25	1	1
TcCLB.503653.30	88	60	6	2
TcCLB.503653.50	113	54	34	11
TcCLB.503653.60	36	52	20	17
TcCLB.503653.70	33	47	6	2
TcCLB.503653.90	49	35	1	1
TcCLB.503665.40	1081	11	2	1
TcCLB.503667.10	323	46	6	2
TcCLB.503669.10	460	29	1	2
TcCLB.503669.20	160	51	1	2
TcCLB.503669.30	199	63	6	1
TcCLB.503671.10	275	48	1	7
TcCLB.503671.20	64	71	2	1
TcCLB.503671.30	304	56	1	3
TcCLB.503675.10	98	67	2	3
TcCLB.503675.20	1127	43	5	2
TcCLB.503677.10	71	68	10	7
TcCLB.503677.20	326	11	1	2
TcCLB.503683.20	285	51	1	1
TcCLB.503683.30	2235	56	1	3
TcCLB.503685.10	331	44	1	6
TcCLB.503685.20	130	51	1	1
TcCLB.503685.30	51	70	33	24
TcCLB.503689.10	1015	61	1	4
TcCLB.503689.20	141	57	1	5
TcCLB.503689.30	394	65	6	8
TcCLB.503689.34	42	66	1	4
TcCLB.503689.4	32	63	19	1
TcCLB.503689.40	141	66	2	2
TcCLB.503697.100	178	42	1	3
TcCLB.503697.110	97	64	4	4
TcCLB.503697.120	555	46	1	6
TcCLB.503697.130	338	52	1	4
TcCLB.503697.140	205	42	13	6
TcCLB.503697.20	508	30	2	3
TcCLB.503697.40	2224	61	1	16
TcCLB.503697.50	185	61	1	1
TcCLB.503697.60	54	49	1	1
TcCLB.503697.70	1045	61	2	4
TcCLB.503697.90	182	46	1	3
TcCLB.503713.10	134	61	1	4
TcCLB.503713.20	97	49	2	1
TcCLB.503713.30	753	62	3	5
TcCLB.503715.10	37	57	2	5
TcCLB.503715.20	1323	63	2	46
TcCLB.503715.30	1780	73	60	86
TcCLB.503715.40	144	2	1	1
TcCLB.503717.120	1116	57	1	1
TcCLB.503717.20	370	56	1	1
TcCLB.503717.40	331	41	1	1
TcCLB.503717.90	2512	65	4	1
TcCLB.503745.10	131	59	1	3
TcCLB.503745.20	129	56	1	6
TcCLB.503745.25	422	67	2	3
TcCLB.503745.30	316	46	3	9
TcCLB.503747.10	434	63	6	10
TcCLB.503747.20	37	66	1	2
TcCLB.503747.30	432	68	3	4
TcCLB.503749.10	74	51	1	6
TcCLB.503749.30	701	56	1	3
TcCLB.503751.20	454	32	5	3
TcCLB.503753.10	185	61	1	1
TcCLB.503753.20	528	46	1	2
TcCLB.503755.10	71	67	2	1
TcCLB.503755.30	696	51	1	2
TcCLB.503755.50	303	62	2	3
TcCLB.503755.54	140	56	1	1
TcCLB.503757.10	515	34	9	2
TcCLB.503757.20	251	54	2	5
TcCLB.503757.30	1763	56	1	28
TcCLB.503759.30.1	272	27	1	2
TcCLB.503761.50	356	22	1	1
TcCLB.503767.5	1174	61	1	1
TcCLB.503777.10	211	16	1	1
TcCLB.503777.19	82	41	2	3
TcCLB.503779.10	241	51	1	1
TcCLB.503779.100	130	72	2	3
TcCLB.503779.30	862	63	3	14
TcCLB.503779.40	15	66	14	8
TcCLB.503779.50	24	61	1	2
TcCLB.503779.70	41	71	2	4
TcCLB.503779.80	85	48	1	2
TcCLB.503783.34	383	53	1	3
TcCLB.503783.70	394	48	1	1
TcCLB.503789.20	440	47	2	4
TcCLB.503789.30	48	69	3	3
TcCLB.503789.34	240	68	4	7
TcCLB.503789.40	364	63	3	9
TcCLB.503789.60	663	61	1	3
TcCLB.503789.70	114	65	2	6
TcCLB.503793.10	152	37	11	3
TcCLB.503795.10	1099	37	2	2
TcCLB.503799.10	86	51	4	13
TcCLB.503801.20	166	66	11	12
TcCLB.503801.30	666	71	10	3
TcCLB.503801.50	13	67	30	26
TcCLB.503801.60	37	66	1	2
TcCLB.503801.70	534	34	1	1
TcCLB.503801.79	9	46	1	2
TcCLB.503803.10	484	45	1	8
TcCLB.503803.20	1900	56	1	4
TcCLB.503805.10	198	48	1	1
TcCLB.503805.20	103	22	6	1
TcCLB.503805.40	364	59	2	6
TcCLB.503805.6	508	67	2	3
TcCLB.503805.9	38	66	1	2
TcCLB.503811.10	479	76	23	16
TcCLB.503811.20	447	63	2	10
TcCLB.503811.40	125	67	2	3
TcCLB.503811.45	64	31	1	2
TcCLB.503811.50	125	50	1	2
TcCLB.503811.60	788	61	1	6
TcCLB.503811.70	196	53	1	1
TcCLB.503811.80	397	49	2	2
TcCLB.503813.10	710	62	2	19
TcCLB.503813.20	333	46	1	1
TcCLB.503813.30	663	60	2	20
TcCLB.503819.10	86	62	5	19
TcCLB.503819.20	381	12	1	1
TcCLB.503819.30	690	57	11	21
TcCLB.503821.10	163	55	2	6
TcCLB.503821.5	892	51	1	9
TcCLB.503829.10	351	42	1	3
TcCLB.503829.30	28	66	1	3
TcCLB.503829.40	323	63	2	5
TcCLB.503829.50	695	51	1	6
TcCLB.503829.80	453	50	13	8
TcCLB.503829.89	66	74	3	4
TcCLB.503831.20	963	57	2	5
TcCLB.503831.40	472	54	1	5
TcCLB.503833.10	252	51	1	1
TcCLB.503833.20	121	56	1	1
TcCLB.503833.30	216	42	1	3
TcCLB.503833.40	51	89	37	18
TcCLB.503833.50	266	66	2	13
TcCLB.503833.60	170	61	1	2
TcCLB.503835.10	84	51	2	1
TcCLB.503835.30	172	52	1	2
TcCLB.503835.5	797	61	1	4
TcCLB.503841.10	377	61	1	4
TcCLB.503841.20	713	56	1	11
TcCLB.503841.30	161	63	3	4
TcCLB.503841.40	50	67	2	1
TcCLB.503841.50	138	41	1	2
TcCLB.503841.60	229	46	1	3
TcCLB.503841.80	164	33	1	4
TcCLB.503853.10	371	61	1	3
TcCLB.503855.10	442	56	1	1
TcCLB.503855.20	314	64	3	6
TcCLB.503855.30	136	61	1	7
TcCLB.503855.40	1525	51	1	8
TcCLB.503855.50	396	56	1	11
TcCLB.503855.60	2308	58	3	13
TcCLB.503855.80	1051	34	2	2
TcCLB.503865.20	22	53	1	3
TcCLB.503865.30	61	61	1	4
TcCLB.503865.40	142	42	1	1
TcCLB.503865.50	157	72	10	3
TcCLB.503865.60	341	50	1	9
TcCLB.503865.70	172	61	1	3
TcCLB.503867.10	24	65	2	2
TcCLB.503873.10	378	73	8	16
TcCLB.503875.10	2485	56	1	2
TcCLB.503881.10	2197	67	2	17
TcCLB.503881.20	410	12	1	1
TcCLB.503881.30	1045	16	1	1
TcCLB.503881.39	887	67	2	9
TcCLB.503881.50	292	33	2	3
TcCLB.503885.10	118	52	1	1
TcCLB.503885.20	179	68	3	3
TcCLB.503885.30	95	53	1	7
TcCLB.503885.40	62	72	3	6
TcCLB.503885.50	126	68	3	5
TcCLB.503885.60	125	56	1	7
TcCLB.503885.70	132	61	1	3
TcCLB.503885.80	239	56	1	3
TcCLB.503885.90	45	68	3	11
TcCLB.503887.10	28	48	1	1
TcCLB.503887.30	343	37	1	4
TcCLB.503887.40	664	72	6	33
TcCLB.503887.50	1090	69	4	6
TcCLB.503887.60	719	52	1	4
TcCLB.503893.100	19	38	3	7
TcCLB.503893.120	750	47	1	4
TcCLB.503893.130	162	61	1	4
TcCLB.503893.150	1348	63	4	1
TcCLB.503893.160	310	46	1	9
TcCLB.503893.170	232	39	1	3
TcCLB.503893.30	464	76	13	14
TcCLB.503893.40	1901	37	1	5
TcCLB.503893.50	45	54	2	2
TcCLB.503893.60	436	37	2	2
TcCLB.503893.70	104	61	1	4
TcCLB.503893.80	607	51	1	7
TcCLB.503893.90	55	67	3	4
TcCLB.503895.10	534	56	1	6
TcCLB.503897.10	16	52	2	2
TcCLB.503897.100	264	67	2	1
TcCLB.503897.110	46	21	1	1
TcCLB.503897.120	795	69	6	22
TcCLB.503897.130	75	66	1	3
TcCLB.503897.140	359	59	2	1
TcCLB.503897.150	86	31	1	2
TcCLB.503897.170	133	26	1	3
TcCLB.503897.20	711	56	6	6
TcCLB.503897.30	440	66	12	9
TcCLB.503897.40	695	56	1	3
TcCLB.503897.50	203	51	1	2
TcCLB.503897.60	1085	61	1	14
TcCLB.503897.70	1914	57	1	14
TcCLB.503897.80	844	67	2	6
TcCLB.503897.90	23	62	1	5
TcCLB.503899.10	209	59	2	2
TcCLB.503899.110	385	53	4	2
TcCLB.503899.119	261	56	5	10
TcCLB.503899.130	832	62	2	14
TcCLB.503899.20	127	89	64	5
TcCLB.503899.30	103	84	41	12
TcCLB.503899.40	502	46	1	9
TcCLB.503899.50	262	57	1	3
TcCLB.503899.60	212	61	1	5
TcCLB.503899.70	463	56	1	7
TcCLB.503899.80	287	63	4	15
TcCLB.503899.90	815	41	1	7
TcCLB.503903.10	497	55	2	3
TcCLB.503903.20	91	57	3	3
TcCLB.503903.30	328	33	1	2
TcCLB.503903.50	582	61	1	6
TcCLB.503903.60	332	62	3	16
TcCLB.503903.70	107	55	3	1
TcCLB.503903.79	457	69	5	2
TcCLB.503905.10	1029	61	2	2
TcCLB.503905.30	243	42	1	2
TcCLB.503905.40	469	46	2	3
TcCLB.503905.50	1210	53	1	4
TcCLB.503907.10	511	46	1	1
TcCLB.503909.100	324	57	3	6
TcCLB.503909.110	451	59	4	6
TcCLB.503909.120	297	43	1	1
TcCLB.503909.44	389	52	1	4
TcCLB.503909.50	147	49	2	1
TcCLB.503909.60	133	42	1	1
TcCLB.503909.68	108	46	1	2
TcCLB.503909.76	167	66	2	2
TcCLB.503909.84	285	56	1	4
TcCLB.503909.90	499	32	1	2
TcCLB.503953.10	655	60	3	14
TcCLB.503953.14	45	71	6	2
TcCLB.503953.20	305	67	2	3
TcCLB.503953.30	403	31	1	1
TcCLB.503953.40	57	66	1	4
TcCLB.503953.50	110	36	1	2
TcCLB.503955.10	349	63	4	9
TcCLB.503955.100	1041	23	1	2
TcCLB.503955.20	106	56	1	15
TcCLB.503955.30	32	50	3	4
TcCLB.503955.40	661	56	1	4
TcCLB.503955.50	140	61	1	5
TcCLB.503955.55	349	56	1	28
TcCLB.503955.60	77	66	1	5
TcCLB.503955.70	430	67	3	11
TcCLB.503955.80	80	38	1	1
TcCLB.503955.89	518	61	1	5
TcCLB.503957.10	595	34	1	2
TcCLB.503957.20	105	71	2	1
TcCLB.503957.25	652	37	1	1
TcCLB.503957.30	292	60	3	4
TcCLB.503957.60	668	65	2	7
TcCLB.503957.90	832	66	2	3
TcCLB.503959.10	89	62	1	3
TcCLB.503959.20	62	68	2	5
TcCLB.503959.30	353	61	1	14
TcCLB.503959.50	80	43	2	3
TcCLB.503959.60	701	62	2	25
TcCLB.503967.10	269	56	1	3
TcCLB.503967.4	85	43	1	5
TcCLB.503969.10	93	46	1	1
TcCLB.503971.10	632	46	1	2
TcCLB.503971.20	37	55	4	1
TcCLB.503971.30	89	38	2	3
TcCLB.503971.40	204	61	1	4
TcCLB.503971.5	206	41	2	1
TcCLB.503971.50	1089	62	2	7
TcCLB.503975.100	685	25	4	3
TcCLB.503975.20	289	43	5	2
TcCLB.503975.40	1806	56	1	27
TcCLB.503975.50	1617	24	7	3
TcCLB.503975.60	860	51	1	9
TcCLB.503975.70	2909	51	1	4
TcCLB.503977.50	1935	41	1	1
TcCLB.503977.70	1183	61	1	1
TcCLB.503977.79	127	74	62	14
TcCLB.503981.20	161	62	4	7
TcCLB.503981.30	547	62	15	7
TcCLB.503981.40	211	65	4	5
TcCLB.503981.50	244	61	1	3
TcCLB.503981.60	65	58	1	3
TcCLB.503981.70	83	73	3	4
TcCLB.503981.80	401	61	2	9
TcCLB.503981.9	167	34	4	5
TcCLB.503985.10	666	31	1	1
TcCLB.503989.10	83	61	1	58
TcCLB.503989.20	134	61	1	1
TcCLB.503989.30	332	61	1	4
TcCLB.503989.50	836	51	1	2
TcCLB.503991.10	161	26	1	1
TcCLB.503991.30	430	23	6	4
TcCLB.504005.10	160	47	4	2
TcCLB.504005.20	169	48	1	1
TcCLB.504005.29	157	61	1	2
TcCLB.504005.40	85	66	1	1
TcCLB.504005.54	103	73	51	8
TcCLB.504005.6	100	36	2	9
TcCLB.504005.60	30	66	1	5
TcCLB.504009.10	33	59	1	2
TcCLB.504009.20	58	47	2	5
TcCLB.504009.30	12	58	1	2
TcCLB.504009.40	262	42	1	1
TcCLB.504009.60	158	61	1	3
TcCLB.504009.70	323	68	10	4
TcCLB.504011.80	973	58	1	4
TcCLB.504017.10	236	69	5	15
TcCLB.504017.20	159	43	3	2
TcCLB.504017.30	91	56	1	2
TcCLB.504017.40	548	67	2	8
TcCLB.504017.50	99	33	2	2
TcCLB.504017.60	149	50	1	4
TcCLB.504017.70	125	43	1	1
TcCLB.504025.10	66	60	3	5
TcCLB.504029.101	200	41	1	1
TcCLB.504029.40	1388	56	1	4
TcCLB.504029.50	27	51	1	1
TcCLB.504029.60	109	61	2	3
TcCLB.504029.70	370	61	2	7
TcCLB.504029.80	35	53	2	6
TcCLB.504033.100	80	66	1	2
TcCLB.504033.110	34	53	3	6
TcCLB.504033.120	71	66	1	2
TcCLB.504033.130	586	61	2	3
TcCLB.504033.140	115	32	1	1
TcCLB.504033.160	66	69	4	4
TcCLB.504033.170	824	3	1	1
TcCLB.504033.180	135	61	1	4
TcCLB.504033.190	340	41	1	1
TcCLB.504033.200	225	41	1	1
TcCLB.504033.21	462	51	1	2
TcCLB.504033.210	53	71	2	5
TcCLB.504033.220	44	66	1	6
TcCLB.504033.40	330	51	4	7
TcCLB.504033.53	2892	56	1	9
TcCLB.504033.80	174	62	12	6
TcCLB.504033.90	172	63	1	6
TcCLB.504035.100	77	67	2	2
TcCLB.504035.110	243	56	5	1
TcCLB.504035.120	206	64	5	4
TcCLB.504035.130	177	61	1	3
TcCLB.504035.140	225	63	5	1
TcCLB.504035.60	103	66	1	3
TcCLB.504035.70	182	61	1	2
TcCLB.504035.80	46	63	2	3
TcCLB.504035.84	157	58	5	10
TcCLB.504035.90	165	64	5	3
TcCLB.504039.170	2221	33	1	3
TcCLB.504039.175	1299	18	1	1
TcCLB.504039.210	2881	39	1	1
TcCLB.504039.240	323	56	1	2
TcCLB.504039.50	625	36	1	1
TcCLB.504041.10	315	35	1	3
TcCLB.504047.10	91	38	1	2
TcCLB.504047.20	179	61	1	2
TcCLB.504047.30	416	57	1	1
TcCLB.504047.34	565	31	1	4
TcCLB.504047.40	337	52	1	3
TcCLB.504047.50	854	53	2	10
TcCLB.504047.60	573	48	1	7
TcCLB.504047.70	236	58	1	9
TcCLB.504049.20	246	56	1	1
TcCLB.504049.30	514	51	4	1
TcCLB.504049.40	291	23	1	1
TcCLB.504051.20	620	33	1	1
TcCLB.504051.30	838	49	18	9
TcCLB.504051.40	278	42	2	2
TcCLB.504051.49	84	62	2	3
TcCLB.504055.10	185	46	1	1
TcCLB.504055.20	28	66	2	1
TcCLB.504055.30	67	70	3	3
TcCLB.504055.40	509	47	1	9
TcCLB.504055.50	677	57	1	3
TcCLB.504055.60	139	52	1	2
TcCLB.504055.81	393	60	2	2
TcCLB.504057.104	1167	56	1	2
TcCLB.504057.11	198	61	1	2
TcCLB.504057.110	96	61	1	7
TcCLB.504057.120	609	37	1	2
TcCLB.504057.130	340	2	10	1
TcCLB.504057.140	35	56	5	11
TcCLB.504057.145	131	62	2	7
TcCLB.504057.150	281	68	3	7
TcCLB.504057.178	252	50	1	3
TcCLB.504057.21	158	52	1	4
TcCLB.504057.40	2038	46	6	18
TcCLB.504057.45	145	41	1	9
TcCLB.504057.60	137	39	1	1
TcCLB.504057.65	26	61	1	3
TcCLB.504057.70	224	49	2	4
TcCLB.504057.80	27	51	2	2
TcCLB.504057.90	766	56	1	11
TcCLB.504057.97	29	47	13	3
TcCLB.504073.10	26	38	1	1
TcCLB.504073.30	681	19	1	4
TcCLB.504075.10	61	73	3	1
TcCLB.504075.6	44	63	1	1
TcCLB.504077.30	323	62	6	7
TcCLB.504077.40	199	56	1	3
TcCLB.504077.50	275	32	1	4
TcCLB.504087.10	1503	2	1	1
TcCLB.504087.20	1805	62	2	13
TcCLB.504089.30	19	66	1	1
TcCLB.504089.50	447	57	1	5
TcCLB.504089.54	128	56	2	1
TcCLB.504089.60	147	70	6	9
TcCLB.504089.70	157	66	3	12
TcCLB.504089.79	1878	17	2	2
TcCLB.504097.10	113	61	1	2
TcCLB.504097.20	54	44	1	2
TcCLB.504097.40	10	55	3	7
TcCLB.504099.10	265	61	1	6
TcCLB.504099.15	433	26	1	1
TcCLB.504099.30	159	48	1	3
TcCLB.504099.40	589	51	1	2
TcCLB.504099.50	127	47	2	9
TcCLB.504099.70	285	51	1	5
TcCLB.504099.80	2081	31	1	1
TcCLB.504101.10	56	51	2	2
TcCLB.504101.50	533	61	1	1
TcCLB.504103.100	141	53	2	3
TcCLB.504103.109	323	56	1	2
TcCLB.504103.20	384	55	2	2
TcCLB.504103.30	971	55	10	4
TcCLB.504103.40	29	61	1	2
TcCLB.504103.6	59	56	1	3
TcCLB.504103.60	326	36	1	1
TcCLB.504103.70	84	44	3	3
TcCLB.504103.80	254	61	2	5
TcCLB.504103.90	2224	58	12	9
TcCLB.504111.10	1604	52	2	5
TcCLB.504111.20	63	58	1	13
TcCLB.504111.30	212	57	3	3
TcCLB.504111.40	1044	22	2	3
TcCLB.504117.20	374	56	5	5
TcCLB.504119.10	557	62	6	8
TcCLB.504119.20	44	51	1	1
TcCLB.504119.29	21	40	4	1
TcCLB.504125.10	6	61	1	1
TcCLB.504125.100	1328	61	1	9
TcCLB.504125.120	108	72	2	3
TcCLB.504125.20	83	22	1	1
TcCLB.504125.30	392	61	2	4
TcCLB.504125.40	359	69	68	27
TcCLB.504125.50	524	74	13	6
TcCLB.504125.60	1283	67	3	13
TcCLB.504125.64	612	58	2	7
TcCLB.504125.70	1096	61	1	8
TcCLB.504125.80	78	55	1	3
TcCLB.504125.90	868	61	1	11
TcCLB.504127.30.1	216	46	1	1
TcCLB.504129.10	29	72	2	3
